Thirty formula-reproducible facility examples

Teaching annual-bucket model. Stage 1 = year-one default events; Stage 2 = lifetime marginal loss; Stage 3 = discounted net recoveries. Full production horizon must not be truncated.

Case | Customer | Stage | PD12 | LGD | EAD SAR | EIR | Years | EAD decay | GCA SAR | Recovery fraction | Recovery delay years | Base loss | Upside loss | Downside loss | Weighted loss | Published source loss | Difference SAR
C07 | D07-0002 | 2 | 0.075 | 0.24 | 751161 | 0.055 | 3 | 0.94 | 751161 | 0.76 | 0.5 | 32083.97366105372 | 23428.71678138105 | 50209.278761762806 | 35317.011404280085 | 35317.011404280085 | 0
C07 | D07-0096 | 1 | 0.0099 | 0.18 | 835969.5 | 0.055 | 3 | 0.94 | 835969.5 | 0.8200000000000001 | 0.5 | 1412.0356862559242 | 1016.6656941042658 | 2273.377454872038 | 1568.065629587204 | 1568.0656295872038 | 2.2737367544323206e-13
C08 | D08-0001 | 2 | 0.055 | 0.17 | 661181.25 | 0.052 | 3 | 0.94 | 661181.25 | 0.83 | 0.5 | 15028.414702062575 | 10932.684762719193 | 23699.331338283442 | 16581.784370216283 | 16581.784370216283 | 0
C08 | D08-0002 | 2 | 0.055 | 0.17 | 687037.5 | 0.052 | 3 | 0.94 | 687037.5 | 0.83 | 0.5 | 15616.11807029966 | 11360.21992103782 | 24626.120831959328 | 17230.234038325303 | 17230.2340383253 | 3.637978807091713e-12
C08 | D08-0096 | 1 | 0.011000000000000001 | 0.16 | 764606.25 | 0.052 | 3 | 0.94 | 764606.25 | 0.84 | 0.5 | 1279.1891634980989 | 921.0161977186314 | 2059.4945532319393 | 1420.5395660646386 | 1420.5395660646388 | -2.2737367544323206e-13
C09 | D09-0001 | 2 | 0.095 | 0.6 | 136644.12 | 0.08 | 3 | 0.73 | 136644.12 | 0.4 | 0.5 | 14321.90119449082 | 10460.894115364383 | 22402.829762912916 | 15762.982274727377 | 15762.982274727377 | 0
C09 | D09-0002 | 2 | 0.095 | 0.6 | 141987.75 | 0.08 | 3 | 0.73 | 141987.75 | 0.4 | 0.5 | 14881.976087431085 | 10869.979757847093 | 23278.91892947197 | 16379.412348503707 | 16379.412348503707 | 0
C09 | D09-0096 | 1 | 0.013750000000000002 | 0.57 | 158018.62 | 0.08 | 3 | 0.73 | 158018.62 | 0.43000000000000005 | 0.5 | 1146.7323465277777 | 825.6472895000002 | 1846.2390779097216 | 1273.446270819097 | 1273.446270819097 | 0
C10 | D10-0001 | 3 | 1 | 0.7 | 110196.88 | 0.09 | 3 | 0.7 | 110196.88 | 0.30000000000000004 | 0.5 | 78532.0395359917 | 75365.55548959086 | 84865.00762879336 | 79640.308952232 | 79640.308952232 | 0
C10 | D10-0002 | 3 | 1 | 0.7 | 114506.25 | 0.09 | 3 | 0.7 | 114506.25 | 0.30000000000000004 | 0.5 | 81603.12117836866 | 78312.80829620552 | 88183.74694269492 | 82754.73068712576 | 82754.73068712576 | 0
C10 | D10-0096 | 1 | 0.044000000000000004 | 0.65 | 127434.38 | 0.09 | 3 | 0.7 | 127434.38 | 0.35 | 0.5 | 3343.6910715596337 | 2407.457571522936 | 5383.342625211008 | 3713.1689349669723 | 3713.1689349669728 | -4.547473508864641e-13
