All sixty stage-specific outputs

Six snapshots per case, S0–S5. Planned later steps exist here for implementation but must not leak into earlier user exports.

Case | Step | Exact question / action | Expected output | Scope predicate | Customer N | Snapshot ID | Chart specification | Export requirement | Source
C02 | S4 | Within matched vintages, compare channels and exception combinations. Is the short-tenure/high-burden intersection genuinely overrepresented? | The named pocket contains 30 of 100 eligible observations (30%) and 12 of 16 issue cases (75.0%). Its issue incidence is 40.0%, versus 5.7% outside, a 7.00× rate ratio. Narrow the corroborated list to 12 policy-review customers. Focus on the channel/exception intersection, with within-channel denominators and matched controls. Do not blame every digital-originated loan. | Corroborated AND named pocket | 12 | CPRA-C02-S4-20260831-v1 | Normalized pocket incidence + within-pocket score/feature bands | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R02,R07
C02 | S5 | What should we do next? Give a sequenced action plan linked to the applicable policy clauses. | 1. Underwriting owner reviews the relevant historical exception approvals and verifies whether each was authorized; separate policy design from policy non-compliance. 2. NEW lending: place only the evidenced exception route on second-level approval pending review; refresh verified obligations and residual-income assessment. 3. Use the applicable policy ceiling and residual-income requirement to calculate affordable principal and tenor. Track MOB3/MOB6 performance; do not retroactively apply today’s rules to old decisions. Test future-book affordable principal from a supported payment budget and contractual cash flows. For current defaults, model sustainable recovery/collection separately; no artificial balance deletion. | Same S4 policy-review scope | 12 | CPRA-C02-S5-20260831-v1 | Policy action table + scenario inputs and tradeoffs | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R02,R07
C03 | S0 | Open card / carried context | Employer payroll interruption: 22 of 100 eligible observations meet the issue rule, versus 4 of 100 in the comparator (5.50×; +18.0 percentage points). Affected gross exposure is SAR 2,264,490. For the same current issue customers, published synthetic ECL moves from SAR 34,277 to SAR 309,191. Comparable forward PD rises from 2.5% to 11.0% on 22 non-impaired issue customers. Behavioral score moves from 684.3 to 544.3; the original application score stays immutable. These are calibration fixtures, not bank performance estimates. | Current issue predicate | 22 | CPRA-C03-S0-20260831-v1 | Issue trend + score and ECL panels | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R03,R07
C03 | S1 | Split apparent payroll shortfalls into account switches, calendar/posting effects and verified multi-cycle interruptions. Compare matched payroll dates. | Twenty-two alerts include four timing/switch explanations and eighteen requiring verified payroll follow-up. Sixteen have corroborating household liquidity evidence. Missing salary credit alone is not proven loss of income. One missed credit can be an account switch or holiday shift. Obtain permitted evidence before inferring employer distress. | Detailed evidence subgroup | 18 | CPRA-C03-S1-20260831-v1 | Disaggregation table + comparable trend or maturity ladder | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R03,R07
C03 | S2 | Were these borrowers sound at origination? Compare original application scores with current payroll continuity, liquidity and behavioral scores. | Keep the S1 set of 18 IDs fixed. The demonstration behavioral-score change is 140 adverse points, while their original application values do not change. The pocket’s original internal score is around 692; compare its distribution with the matched controls near 690. Keep score model versions, cohort coverage and default status visible. | Same S1 IDs; historical match | 18 | CPRA-C03-S2-20260831-v1 | Matched score distribution + transition/trajectory chart | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R03,R07
C03 | S3 | Decompose the behavioral fall and date the payroll and cash-buffer changes before arrears. Which customers have verified alternative salary receipts? | Original applications were relatively strong. In the evidenced pocket, payroll credits fall from SAR 9,000 to SAR 4,200 and buffers from 2.3 to 0.25 months. Exclude confirmed bank-account switches; uncertain external income remains unverified, not zero. | Corroborated evidence subgroup | 16 | CPRA-C03-S3-20260831-v1 | Variable point waterfall / ECL driver bridge + feature timelines | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R03,R07
C03 | S4 | Rank employer concentrations using affected employees divided by all financed employees. Compare similar employer types and regions. | The named pocket contains 25 of 100 eligible observations (25%) and 18 of 22 issue cases (81.8%). Its issue incidence is 72.0%, versus 5.3% outside, a 13.50× rate ratio. Narrow the corroborated list to 16 policy-review customers. DEMO Employer A is fictitious. An employer-level cluster is an investigation lead, not authority to penalize every employee or disclose employee debts to the employer. | Corroborated AND named pocket | 16 | CPRA-C03-S4-20260831-v1 | Normalized pocket incidence + within-pocket score/feature bands | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R03,R07
C03 | S5 | What should we do next? Give a sequenced action plan linked to the applicable policy clauses. | 1. Servicing owner performs confidential customer contact and verifies the documented income interruption and alternative resources. 2. Assess the applicable response to changed circumstances under current collections rules and the bank’s hardship policy; no automatic new borrowing to cover missed payments. 3. NEW verified payroll-linked exposure to the affected employer may go to manual review, subject to policy approval. Track restored payroll and sustainable arrangements weekly. Test documented, eligible payment accommodation or rescheduling with customer consent. Longer duration may increase ECL; preserve contractual rights and correct modification accounting. | Same S4 policy-review scope | 16 | CPRA-C03-S5-20260831-v1 | Policy action table + scenario inputs and tradeoffs | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R03,R07
C04 | S0 | Open card / carried context | Top-up debt stacking: 19 of 100 eligible observations meet the issue rule, versus 5 of 100 in the comparator (3.80×; +14.0 percentage points). Affected gross exposure is SAR 3,082,287. For the same current issue customers, published synthetic ECL moves from SAR 91,817 to SAR 529,074. Comparable forward PD rises from 4.5% to 13.5% on 19 non-impaired issue customers. Behavioral score moves from 669.7 to 549.7; the original application score stays immutable. These are calibration fixtures, not bank performance estimates. | Current issue predicate | 19 | CPRA-C04-S0-20260831-v1 | Issue trend + score and ECL panels | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R02,R06,R07
C04 | S1 | Split monthly obligations into this bank, other lenders and verified BNPL installments. Separate real growth from reporting-lag and duplicate-line effects. | Nineteen alerts include three reporting/verification exceptions. Sixteen show comparable obligation growth and fourteen also have a materially depleted residual-income buffer. A better bureau feed can make liabilities look new. Reconcile reporting dates and deduplicate before claiming debt growth. | Detailed evidence subgroup | 16 | CPRA-C04-S1-20260831-v1 | Disaggregation table + comparable trend or maturity ladder | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R02,R06,R07
C04 | S2 | Compare approval-time affordability and original application inputs with current verified monthly obligations for the same customers. | Keep the S1 set of 16 IDs fixed. The demonstration behavioral-score change is 120 adverse points, while their original application values do not change. The pocket’s original internal score is around 655; compare its distribution with the matched controls near 690. Keep score model versions, cohort coverage and default status visible. | Same S1 IDs; historical match | 16 | CPRA-C04-S2-20260831-v1 | Matched score distribution + transition/trajectory chart | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R02,R06,R07
C04 | S3 | How much score deterioration comes from new debt and weaker repayments, rather than DPD or refreshed bureau coverage? | Verified obligations rise from 39% to 59% of income and residual funds fall from SAR 2,400 to SAR 350. BNPL account count alone is not risk; use supported monthly commitments and consented evidence. Determine the applicable income/product rules individually. | Corroborated evidence subgroup | 14 | CPRA-C04-S3-20260831-v1 | Variable point waterfall / ECL driver bridge + feature timelines | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R02,R06,R07
C04 | S4 | Is the short interval since the last top-up plus increased external debt more risky than either factor alone? Compare matched borrowers. | The named pocket contains 30 of 100 eligible observations (30%) and 15 of 19 issue cases (78.9%). Its issue incidence is 50.0%, versus 5.7% outside, a 8.75× rate ratio. Narrow the corroborated list to 14 policy-review customers. Focus on repeat top-up timing and verified monthly burden, not all top-up or BNPL users. Separate approval-time omissions from subsequent borrowing. | Corroborated AND named pocket | 14 | CPRA-C04-S4-20260831-v1 | Normalized pocket incidence + within-pocket score/feature bands | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R02,R06,R07
C04 | S5 | What should we do next? Give a sequenced action plan linked to the applicable policy clauses. | 1. Stop discretionary new top-up offers to the corroborated cohort pending refreshed obligations and affordability, within approved marketing/policy controls. 2. Validate genuine debt settlement and a sustainable customer budget; avoid additional finance that only masks arrears. 3. For NEW top-ups, require fresh consented credit evidence and residual-income checks under the applicable policy. Monitor reborrowing and net monthly commitments. Compare no-new-top-up exposure and sustainable repayment schedules. Include fees, tenor, modification and ECL tradeoffs; do not equate consolidation with eliminated debt. | Same S4 policy-review scope | 14 | CPRA-C04-S5-20260831-v1 | Policy action table + scenario inputs and tradeoffs | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R02,R06,R07
C05 | S0 | Open card / carried context | Auto balloon funding cliff: 16 of 100 eligible observations meet the issue rule, versus 4 of 100 in the comparator (4.00×; +12.0 percentage points). Affected gross exposure is SAR 1,427,708. For the same current issue customers, published synthetic ECL moves from SAR 14,374 to SAR 107,898. Comparable forward PD rises from 3.0% to 12.0% on 16 non-impaired issue customers. Behavioral score moves from 678.9 to 588.9; the original application score stays immutable. These are calibration fixtures, not bank performance estimates. | Current issue predicate | 16 | CPRA-C05-S0-20260831-v1 | Issue trend + score and ECL panels | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R02,R04,R07
C05 | S1 | Show 0–30, 31–60 and 61–90 day final-payment ladders with liquid funding, sale plans and actually approved refinancing. | Sixteen near-term maturity alerts include three without sufficient funding evidence. Thirteen are verified funding gaps; twelve have corroborating behavioral strain. A refinancing option is not approved funding. Large balloons can be planned for. Verify the actual funding plan and approved refinancing rather than assuming default. | Detailed evidence subgroup | 13 | CPRA-C05-S1-20260831-v1 | Disaggregation table + comparable trend or maturity ladder | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R02,R04,R07
C05 | S2 | Inspect the original balloon-inclusive affordability assessment and compare current liquidity and behavioral scores. | Keep the S1 set of 13 IDs fixed. The demonstration behavioral-score change is 90 adverse points, while their original application values do not change. The pocket’s original internal score is around 638; compare its distribution with the matched controls near 690. Keep score model versions, cohort coverage and default status visible. | Same S1 IDs; historical match | 13 | CPRA-C05-S2-20260831-v1 | Matched score distribution + transition/trajectory chart | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R02,R04,R07
C05 | S3 | Distinguish the contractual final-payment exposure from behavioral-score variables. What evidence supports inability to fund it? | The contractual final payment remains 40% of original price while liquid coverage falls from 55% to 15%. Cash buffers and other borrowing drive the behavioral deterioration; do not pretend balloon size is a scorecard input unless the actual model contains it. | Corroborated evidence subgroup | 12 | CPRA-C05-S3-20260831-v1 | Variable point waterfall / ECL driver bridge + feature timelines | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R02,R04,R07
C05 | S4 | Compare maturity month, balloon band, liquidity coverage and original LTV. Which intersection has the highest normalized shortfall? | The named pocket contains 25 of 100 eligible observations (25%) and 13 of 16 issue cases (81.2%). Its issue incidence is 52.0%, versus 4.0% outside, a 13.00× rate ratio. Narrow the corroborated list to 12 policy-review customers. Use contract structure and verified resources, with residual-asset value as a control. Do not blame a named dealer without real file evidence. | Corroborated AND named pocket | 12 | CPRA-C05-S4-20260831-v1 | Normalized pocket incidence + within-pocket score/feature bands | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R02,R04,R07
C05 | S5 | What should we do next? Give a sequenced action plan linked to the applicable policy clauses. | 1. Begin maturity contact and funding verification at the policy-defined lead time; prioritize unresolved 30-day maturities. 2. Document permissible sale, settlement or refinancing options without guaranteeing eligibility or approval. 3. NEW leases: test reducing a 40% maximum balloon to 30%, subject to a full monthly-payment affordability recheck because ordinary installments rise. Rebuild amortization and balloon cash flows explicitly. Show payment change, final balance, EAD and ECL; a smaller final payment is not a free exposure reduction. | Same S4 policy-review scope | 12 | CPRA-C05-S5-20260831-v1 | Policy action table + scenario inputs and tradeoffs | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R02,R04,R07
C06 | S0 | Open card / carried context | Used-auto recovery deterioration: 15 of 100 eligible observations meet the issue rule, versus 4 of 100 in the comparator (3.75×; +11.0 percentage points). Affected gross exposure is SAR 1,139,005. For the same current issue customers, published synthetic ECL moves from SAR 95,494 to SAR 164,742. Comparable PD is almost stable at 5.0%→5.1%; do not portray an unchanged borrower profile as a score-driven default shock. Behavioral score moves from 673.8 to 670.8; the original application score stays immutable. These are calibration fixtures, not bank performance estimates. | Current issue predicate | 15 | CPRA-C06-S0-20260831-v1 | Issue trend + score and ECL panels | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R04,R07
C06 | S1 | Reconcile ECL change into PD, LGD, EAD, stage, recovery timing and interaction effects. Which component is actually material? | Fifteen valuation alerts include three stale/incomplete observations. Twelve have validated recovery revisions and eleven have independent supporting recovery evidence. Separate current defaults from performing collateral reviews. A stale valuation batch or duplicated recovery costs can imitate a loss increase. Validate evidence before changing LGD. | Detailed evidence subgroup | 12 | CPRA-C06-S1-20260831-v1 | Disaggregation table + comparable trend or maturity ladder | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R04,R07
C06 | S2 | Show borrower scores and PD as controls. Has default propensity deteriorated enough to explain the ECL movement? | Keep the S1 set of 12 IDs fixed. The demonstration behavioral-score change is 3 adverse points, while their original application values do not change. The pocket’s original internal score is around 666; compare its distribution with the matched controls near 690. Keep score model versions, cohort coverage and default status visible. | Same S1 IDs; historical match | 12 | CPRA-C06-S2-20260831-v1 | Matched score distribution + transition/trajectory chart | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R04,R07
C06 | S3 | Hold PD/exposure fixed and decompose collateral value, costs and recovery-delay effects. Are any recovery costs or discounts counted twice? | PD barely moves from 5.0% to 5.1% and the behavioral score changes only three points. Expected net proceeds fall from SAR 56,000 to SAR 37,000 while recovery time doubles. The serious issue is loss severity, not manufactured borrower-risk deterioration. | Corroborated evidence subgroup | 11 | CPRA-C06-S3-20260831-v1 | Variable point waterfall / ECL driver bridge + feature timelines | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R04,R07
C06 | S4 | Compare recovery outcomes by vehicle age, mileage, condition and recovery channel using matched realized cohorts. | The named pocket contains 30 of 100 eligible observations (30%) and 12 of 15 issue cases (80.0%). Its issue incidence is 40.0%, versus 4.3% outside, a 9.33× rate ratio. Narrow the corroborated list to 11 policy-review customers. Do not claim a Saudi used-car market crash or name a real dealer. Analyze the evidenced asset/recovery intersection, not a protected customer characteristic. | Corroborated AND named pocket | 11 | CPRA-C06-S4-20260831-v1 | Normalized pocket incidence + within-pocket score/feature bands | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R04,R07
C06 | S5 | What should we do next? Give a sequenced action plan linked to the applicable policy clauses. | 1. Recovery/model owners validate updated net proceeds and independent valuations, including costs and timing. 2. Update LGD only through model/finance governance; prioritize lawful efficient recovery handling rather than unapproved repossession. 3. NEW used-vehicle lending: test LTV 80%→70% for the evidenced pocket subject to commercial/affordability review. Track realized recovery and vendor performance. Hold PD constant; simulate validated recovery values and timing. Honest provisioning can rise. EWS may be a contextual operational/recovery warning, not a calibrated default probability. | Same S4 policy-review scope | 11 | CPRA-C06-S5-20260831-v1 | Policy action table + scenario inputs and tradeoffs | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R04,R07
C07 | S0 | Open card / carried context | Self-construction cash-flow strain: 13 of 100 eligible observations meet the issue rule, versus 3 of 100 in the comparator (4.33×; +10.0 percentage points). Affected gross exposure is SAR 10,330,483. For the same current issue customers, published synthetic ECL moves from SAR 35,768 to SAR 485,704. Comparable forward PD rises from 1.8% to 7.5% on 13 non-impaired issue customers. Behavioral score moves from 708.8 to 588.8; the original application score stays immutable. These are calibration fixtures, not bank performance estimates. | Current issue predicate | 13 | CPRA-C07-S0-20260831-v1 | Issue trend + score and ECL panels | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R05,R07
C07 | S1 | Split construction stages and delay bands, then distinguish households paying rent alongside finance from those without overlap. | Thirteen alerts include two requiring additional milestone evidence. Eleven have verified delays and ten show corresponding budget strain. Compare planned and actual milestones, permitted extensions and disbursement status. Construction delay alone is not household distress. Confirm the overlap expense and depleted resources before a credit conclusion. | Detailed evidence subgroup | 11 | CPRA-C07-S1-20260831-v1 | Disaggregation table + comparable trend or maturity ladder | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R05,R07
C07 | S2 | Compare original underwriting with current household liquidity and behavioral scores. Was the risk weak at inception or did cash flow change? | Keep the S1 set of 11 IDs fixed. The demonstration behavioral-score change is 120 adverse points, while their original application values do not change. The pocket’s original internal score is around 702; compare its distribution with the matched controls near 690. Keep score model versions, cohort coverage and default status visible. | Same S1 IDs; historical match | 11 | CPRA-C07-S2-20260831-v1 | Matched score distribution + transition/trajectory chart | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R05,R07
C07 | S3 | Trace milestone delays, rent-finance overlap and cash-buffer decline in time. Exclude rate repricing where the contract is fixed. | The demonstrated delay grows from 20 to 125 days and housing outgoings rise from 33% to 57% of verified income. Project progress is supporting evidence, not automatically a model feature. The original application score was sound. | Corroborated evidence subgroup | 10 | CPRA-C07-S3-20260831-v1 | Variable point waterfall / ECL driver bridge + feature timelines | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R05,R07
C07 | S4 | Which project, construction stage and overlap-expense intersection drives the normalized stress and exposure? | The named pocket contains 20 of 100 eligible observations (20%) and 11 of 13 issue cases (84.6%). Its issue incidence is 55.0%, versus 2.5% outside, a 22.00× rate ratio. Narrow the corroborated list to 10 policy-review customers. Use a fictitious project and matched non-delayed developments. Region is context, not a reason to classify all city residents as risky. | Corroborated AND named pocket | 10 | CPRA-C07-S4-20260831-v1 | Normalized pocket incidence + within-pocket score/feature bands | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R05,R07
C07 | S5 | What should we do next? Give a sequenced action plan linked to the applicable policy clauses. | 1. Obtain authorized surveyor/progress evidence and reconcile the contractual undrawn commitment and permitted milestones. 2. Assess individual sustainable support and resolve administrative delays; any draw suspension requires contractual and legal justification. 3. For NEW cases, review contingency buffers and monitoring around the demonstrated stage. Track completion dates, overlap costs and customer outcomes. Simulate actual draw timing and permitted payment accommodation. Preserve committed-but-undrawn exposure and contractual obligations. | Same S4 policy-review scope | 10 | CPRA-C07-S5-20260831-v1 | Policy action table + scenario inputs and tradeoffs | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R05,R07
C08 | S0 | Open card / carried context | Housing-support reconciliation gaps: 12 of 100 eligible observations meet the issue rule, versus 2 of 100 in the comparator (6.00×; +10.0 percentage points). Affected gross exposure is SAR 8,709,862. For the same current issue customers, published synthetic ECL moves from SAR 29,869 to SAR 218,435. Comparable forward PD rises from 2.0% to 5.5% on 12 non-impaired issue customers. Behavioral score moves from 704.2 to 654.2; the original application score stays immutable. These are calibration fixtures, not bank performance estimates. | Current issue predicate | 12 | CPRA-C08-S0-20260831-v1 | Issue trend + score and ECL panels | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R02,R03,R05,R07
C08 | S1 | Separate eligibility changes, payable-but-unmatched support, settlement delay and unverified claims; compare one-cycle and repeated gaps. | Twelve mismatches include two single-cycle or documentary exceptions. Ten recur over two cycles; eight also show verified low household buffers. Do not equate all posting exceptions with credit weakness. This can be a bank reconciliation fault. Do not claim the programme has withdrawn support or penalize customers for a posting error. | Detailed evidence subgroup | 10 | CPRA-C08-S1-20260831-v1 | Disaggregation table + comparable trend or maturity ladder | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R02,R03,R05,R07
C08 | S2 | Compare customer-funded payments and behavioral scores before and after the gap; separate technical-only from financially stressed customers. | Keep the S1 set of 10 IDs fixed. The demonstration behavioral-score change is 50 adverse points, while their original application values do not change. The pocket’s original internal score is around 700; compare its distribution with the matched controls near 690. Keep score model versions, cohort coverage and default status visible. | Same S1 IDs; historical match | 10 | CPRA-C08-S2-20260831-v1 | Matched score distribution + transition/trajectory chart | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R02,R03,R05,R07
C08 | S3 | Reconcile expected support, actual credits and the household-funded shortfall before attributing score deterioration. | Expected support is absent in the demonstration’s unresolved repeated-gap pocket, while own-cash buffers decline from 1.5 to 0.4 months. Remedy the verified operating problem first; the credit action cohort includes only corroborated household stress. | Corroborated evidence subgroup | 8 | CPRA-C08-S3-20260831-v1 | Variable point waterfall / ECL driver bridge + feature timelines | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R02,R03,R05,R07
C08 | S4 | Which reconciliation failure code and verified support arrangement concentrates the unresolved amount and household strain? | The named pocket contains 20 of 100 eligible observations (20%) and 10 of 12 issue cases (83.3%). Its issue incidence is 50.0%, versus 2.5% outside, a 20.00× rate ratio. Narrow the corroborated list to 8 policy-review customers. Trace contract, eligibility, support ledger and customer account with the same facility ID; no inference about an actual government programme’s reliability. | Corroborated AND named pocket | 8 | CPRA-C08-S4-20260831-v1 | Normalized pocket incidence + within-pocket score/feature bands | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R02,R03,R05,R07
C08 | S5 | What should we do next? Give a sequenced action plan linked to the applicable policy clauses. | 1. Operations owns prompt reconciliation of verified payable exceptions and customer communication, with a dated resolution target. 2. Correct erroneous customer treatment under approved bank policy; assess sustainable temporary support for genuinely stressed households. 3. Credit and compliance review repeated gaps only after eligibility/funding evidence. No automatic adverse bureau report or blanket limit cut based on a missing posting. Compare support restored versus delayed only where eligibility is verified. Separate operating correction from modeled credit-risk change; PD does not become zero. | Same S4 policy-review scope | 8 | CPRA-C08-S5-20260831-v1 | Policy action table + scenario inputs and tradeoffs | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R02,R03,R05,R07
