Thirty ordered policy actions

DEMO_DRAFT ONLY. Actual bank policy must be supplied, effective-dated and approved before describing any recommendation as bank-policy compliant.

Case | Policy | Version | Clause | Status | Effective from | Draft clause / action | Owner | Timing | Safeguard | Research context
C04 | DEMO-TOPUP-04 | v1 | 2.1 | DEMO_DRAFT - NOT BANK APPROVED | 2026-01-01 00:00:00 | Validate genuine debt settlement and a sustainable customer budget; avoid additional finance that only masks arrears. | Credit / operations / model owner | 2 business days to verify (demo target; applicable earlier requirement prevails) | Human approval; applicability and contract checks; no automatic execution | R01,R02,R06,R07
C04 | DEMO-TOPUP-04 | v1 | 3.1 | DEMO_DRAFT - NOT BANK APPROVED | 2026-01-01 00:00:00 | For NEW top-ups, require fresh consented credit evidence and residual-income checks under the applicable policy. Monitor reborrowing and net monthly commitments. | Policy committee / delegated authority | Before any new top-up offer (demo target; applicable earlier requirement prevails) | Human approval; applicability and contract checks; no automatic execution | R01,R02,R06,R07
C05 | DEMO-AUTO-05 | v1 | 1.1 | DEMO_DRAFT - NOT BANK APPROVED | 2026-01-01 00:00:00 | Begin maturity contact and funding verification at the policy-defined lead time; prioritize unresolved 30-day maturities. | Servicing / investigation owner | Start at 90 days before maturity (demo target; applicable earlier requirement prevails) | Human approval; applicability and contract checks; no automatic execution | R01,R02,R04,R07
C05 | DEMO-AUTO-05 | v1 | 2.1 | DEMO_DRAFT - NOT BANK APPROVED | 2026-01-01 00:00:00 | Document permissible sale, settlement or refinancing options without guaranteeing eligibility or approval. | Credit / operations / model owner | Escalate unresolved 30-day maturities (demo target; applicable earlier requirement prevails) | Human approval; applicability and contract checks; no automatic execution | R01,R02,R04,R07
C05 | DEMO-AUTO-05 | v1 | 3.1 | DEMO_DRAFT - NOT BANK APPROVED | 2026-01-01 00:00:00 | NEW leases: test reducing a 40% maximum balloon to 30%, subject to a full monthly-payment affordability recheck because ordinary installments rise. | Policy committee / delegated authority | Before any new origination (demo target; applicable earlier requirement prevails) | Human approval; applicability and contract checks; no automatic execution | R01,R02,R04,R07
C06 | DEMO-RECOVERY-06 | v1 | 1.1 | DEMO_DRAFT - NOT BANK APPROVED | 2026-01-01 00:00:00 | Recovery/model owners validate updated net proceeds and independent valuations, including costs and timing. | Servicing / investigation owner | 5 business days for evidence (demo target; applicable earlier requirement prevails) | Human approval; applicability and contract checks; no automatic execution | R04,R07
C06 | DEMO-RECOVERY-06 | v1 | 2.1 | DEMO_DRAFT - NOT BANK APPROVED | 2026-01-01 00:00:00 | Update LGD only through model/finance governance; prioritize lawful efficient recovery handling rather than unapproved repossession. | Credit / operations / model owner | 10 business days for model review (demo target; applicable earlier requirement prevails) | Human approval; applicability and contract checks; no automatic execution | R04,R07
C06 | DEMO-RECOVERY-06 | v1 | 3.1 | DEMO_DRAFT - NOT BANK APPROVED | 2026-01-01 00:00:00 | NEW used-vehicle lending: test LTV 80%→70% for the evidenced pocket subject to commercial/affordability review. Track realized recovery and vendor performance. | Policy committee / delegated authority | Before new pocket originations (demo target; applicable earlier requirement prevails) | Human approval; applicability and contract checks; no automatic execution | R04,R07
C07 | DEMO-HOME-07 | v1 | 1.1 | DEMO_DRAFT - NOT BANK APPROVED | 2026-01-01 00:00:00 | Obtain authorized surveyor/progress evidence and reconcile the contractual undrawn commitment and permitted milestones. | Servicing / investigation owner | 5 business days for survey (demo target; applicable earlier requirement prevails) | Human approval; applicability and contract checks; no automatic execution | R01,R05,R07
C07 | DEMO-HOME-07 | v1 | 2.1 | DEMO_DRAFT - NOT BANK APPROVED | 2026-01-01 00:00:00 | Assess individual sustainable support and resolve administrative delays; any draw suspension requires contractual and legal justification. | Credit / operations / model owner | 2 business days for hardship triage (demo target; applicable earlier requirement prevails) | Human approval; applicability and contract checks; no automatic execution | R01,R05,R07
C07 | DEMO-HOME-07 | v1 | 3.1 | DEMO_DRAFT - NOT BANK APPROVED | 2026-01-01 00:00:00 | For NEW cases, review contingency buffers and monitoring around the demonstrated stage. Track completion dates, overlap costs and customer outcomes. | Policy committee / delegated authority | Weekly project review (demo target; applicable earlier requirement prevails) | Human approval; applicability and contract checks; no automatic execution | R01,R05,R07
C08 | DEMO-SUPPORT-08 | v1 | 1.1 | DEMO_DRAFT - NOT BANK APPROVED | 2026-01-01 00:00:00 | Operations owns prompt reconciliation of verified payable exceptions and customer communication, with a dated resolution target. | Servicing / investigation owner | 1 business day to reconcile (demo target; applicable earlier requirement prevails) | Human approval; applicability and contract checks; no automatic execution | R01,R02,R03,R05,R07
C08 | DEMO-SUPPORT-08 | v1 | 2.1 | DEMO_DRAFT - NOT BANK APPROVED | 2026-01-01 00:00:00 | Correct erroneous customer treatment under approved bank policy; assess sustainable temporary support for genuinely stressed households. | Credit / operations / model owner | 2 business days for correction triage (demo target; applicable earlier requirement prevails) | Human approval; applicability and contract checks; no automatic execution | R01,R02,R03,R05,R07
C08 | DEMO-SUPPORT-08 | v1 | 3.1 | DEMO_DRAFT - NOT BANK APPROVED | 2026-01-01 00:00:00 | Credit and compliance review repeated gaps only after eligibility/funding evidence. No automatic adverse bureau report or blanket limit cut based on a missing posting. | Policy committee / delegated authority | Weekly until resolved (demo target; applicable earlier requirement prevails) | Human approval; applicability and contract checks; no automatic execution | R01,R02,R03,R05,R07
C09 | DEMO-RETIRE-09 | v1 | 1.1 | DEMO_DRAFT - NOT BANK APPROVED | 2026-01-01 00:00:00 | Servicing validates the documented transition and any contractual step-down before the first pension payment cycle. | Servicing / investigation owner | Before the first pension cycle (demo target; applicable earlier requirement prevails) | Human approval; applicability and contract checks; no automatic execution | R01,R02,R03,R07
C09 | DEMO-RETIRE-09 | v1 | 2.1 | DEMO_DRAFT - NOT BANK APPROVED | 2026-01-01 00:00:00 | Assess the applicable changed-circumstances and affordability rules; offer permitted sustainable arrangements with required customer choice/consent. | Credit / operations / model owner | Applicable hardship/contract deadline (demo target; applicable earlier requirement prevails) | Human approval; applicability and contract checks; no automatic execution | R01,R02,R03,R07
C09 | DEMO-RETIRE-09 | v1 | 3.1 | DEMO_DRAFT - NOT BANK APPROVED | 2026-01-01 00:00:00 | NEW lending must assess documented transition cash flows across the term, not current salary alone. Track the first pension payment cycles and arrangement sustainability. | Policy committee / delegated authority | Before new origination (demo target; applicable earlier requirement prevails) | Human approval; applicability and contract checks; no automatic execution | R01,R02,R03,R07
C10 | DEMO-CURE-10 | v1 | 1.1 | DEMO_DRAFT - NOT BANK APPROVED | 2026-01-01 00:00:00 | Credit/finance owners review cure and stage decisions, preserving the historical audit trail and assessing necessary corrections. | Servicing / investigation owner | 2 business days for cure review (demo target; applicable earlier requirement prevails) | Human approval; applicability and contract checks; no automatic execution | R01,R03,R07
C10 | DEMO-CURE-10 | v1 | 2.1 | DEMO_DRAFT - NOT BANK APPROVED | 2026-01-01 00:00:00 | Consider sustainable individual arrangements and hardship treatment; do not grant another top-up merely to erase arrears. | Credit / operations / model owner | 5 business days for case plan (demo target; applicable earlier requirement prevails) | Human approval; applicability and contract checks; no automatic execution | R01,R03,R07
C10 | DEMO-CURE-10 | v1 | 3.1 | DEMO_DRAFT - NOT BANK APPROVED | 2026-01-01 00:00:00 | Policy committee reviews cure evidence and monitoring requirements. Track sustained contractual performance and redefault; any allowance correction may increase ECL. | Policy committee / delegated authority | Monthly governance review (demo target; applicable earlier requirement prevails) | Human approval; applicability and contract checks; no automatic execution | R01,R03,R07
